Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],385034,2006,87500,Petrol,Manual,Gurgaon,Black,Second,Corporate,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Maruti Suzuki,DZire VXi,683629,2019,16652,Petrol,Automatic,Ahmedabad,Green,Third,Dealer,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Maruti Suzuki,Alto LXi CNG,380261,2023,47377,CNG,Automatic,Delhi,Grey,Second,Corporate,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,4.0,60.0
Maruti Suzuki,Ritz VXI BS-IV,192456,2000,42152,Petrol,Manual,Siliguri,Red,Third,Dealer,,,,,,,,,
Honda,Brio S MT,463431,2020,50374,Petrol,Manual,Vadodara,White,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
Hyundai,Verna Fluidic 1.6 CRDi SX,250402,2019,135000,Diesel,Manual,Ambala Cantt,Grey,First,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],691991,2018,45000,Diesel,Automatic,Jalandhar,Silver,Third,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Jaguar,XF 3.0 V6 Premium Luxury,3590395,2006,49235,Diesel,Manual,Bangalore,White,Third,Corporate,,,,,,,,,
Mercedes-Benz,GLC 220d 4MATIC Progressive,6521722,2006,19000,Diesel,Automatic,Mumbai,White,Second,Dealer,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,AWD,4658.0,1890.0,1644.0,5.0,66.0
Toyota,Innova ZX 2.4 AT 7 STR,2837024,2015,16000,Diesel,Automatic,Ludhiana,Silver,Third,Dealer,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
BMW,X1 sDrive20d xLine,2954575,2018,25000,Diesel,Manual,Delhi,Silver,Second,Dealer,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
Volkswagen,Vento Comfortline 1.6 (P),700166,2009,38000,Petrol,Manual,Dehradun,Red,First,Corporate,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4390.0,1699.0,1467.0,5.0,55.0
Maruti Suzuki,Alto LXi BS-III,223777,2011,87513,Petrol,Automatic,Salem,Grey,Second,Dealer,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0
Hyundai,i20 Magna 1.2,244218,2023,75431,Petrol,Manual,Mumbai,Blue,Second,Corporate,,,,,,,,,
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],4533373,2003,5000,Petrol,Automatic,Delhi,Black,First,Individual,1497 cc,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Datsun,Redigo T(O) 1.0 [2017-2019],194291,2015,24000,Petrol,Automatic,Faridabad,Blue,Second,Corporate,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3429.0,1560.0,1541.0,5.0,28.0
Renault,Kwid RXT [2015-2019],394553,2003,23700,Petrol,Manual,Mysore,Silver,Second,Corporate,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
Maruti Suzuki,Alto 800 Lxi CNG,407179,2014,56000,CNG,Automatic,Ahmedabad,Grey,Third,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,Vitara Brezza ZDi Plus AGS,955136,2006,74179,Diesel,Manual,Mumbai,Brown,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Toyota,Etios VXD,431923,2013,82000,Diesel,Manual,Ludhiana,Black,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,4265.0,1695.0,1510.0,5.0,45.0
Honda,City 1.5 V AT,327297,2007,56000,Petrol,Manual,Delhi,Silver,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Renault,Kwid 1.0 RXT [2016-2019],426994,2005,43000,Petrol,Automatic,Hyderabad,Yellow,Third,Dealer,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
Mahindra,XUV500 W6 2013,922870,2021,93000,Diesel,Manual,Ahmedabad,Brown,Second,Corporate,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Hyundai,i10 Sportz 1.2 Kappa2,318605,2006,75000,Petrol,Manual,Pune,Grey,Third,Dealer,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Toyota,Innova 2.4 ZX 7 STR [2016-2020],3005626,2020,29000,Diesel,Manual,Bangalore,Brown,First,Corporate,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
Maruti Suzuki,Celerio VXi AMT,345005,2010,76116,Petrol,Manual,Mumbai,Brown,Third,Dealer,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2016-2017],553647,2008,58078,Petrol,Manual,Mysore,Grey,Second,Dealer,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Maruti Suzuki,Baleno Alpha 1.2,571329,2013,42356,Petrol,Automatic,Varanasi,Yellow,Third,Dealer,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mercedes-Benz,S-Class 300,1515505,2021,158000,Petrol,Manual,Chennai,White,Second,Corporate,,,,,,,,,
Maruti Suzuki,Baleno Zeta 1.2,811177,2017,58000,Petrol,Manual,Varanasi,Grey,First,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,Vitara Brezza ZDi,834119,2021,37093,Diesel,Automatic,Jalandhar,Red,Third,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Volkswagen,Polo GT TDI,314762,2003,76000,Diesel,Manual,Lucknow,Grey,Second,Corporate,1598 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],1747962,2017,18000,Petrol,Automatic,Mumbai,Blue,Second,Dealer,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Audi,Q7 45 TDI Technology Pack,5527427,2019,47000,Diesel,Automatic,Delhi,Blue,Second,Individual,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052.0,1968.0,1740.0,7.0,75.0
Mahindra,Quanto C8,237544,2007,51500,Diesel,Manual,Kolkata,Blue,Second,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
MINI,Cooper D 5 Door,1978982,2007,24000,Diesel,Automatic,Ludhiana,Black,Second,Dealer,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,3982.0,1727.0,1425.0,5.0,44.0
Tata,Grande GX,186103,2012,192326,Diesel,Automatic,Ranchi,Black,First,Corporate,2179 cc,120@4000,250@1500,,4421.0,1780.0,1940.0,7.0,65.0
Mahindra,XUV300 1.5 W6 [2019-2020],1048486,2013,27000,Diesel,Manual,Delhi,Green,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995.0,1821.0,1627.0,5.0,42.0
Toyota,Corolla Altis 1.8 G AT,926158,2018,63000,Petrol,Automatic,Delhi,Red,Second,Dealer,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540.0,1760.0,1480.0,5.0,55.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],1319167,2013,55000,Petrol,Manual,Hyderabad,Grey,First,Dealer,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Maruti Suzuki,Swift VDi,530312,2022,140000,Diesel,Manual,Warangal,Brown,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Ford,Ecosport Trend 1.5 Ti-VCT,424830,2018,50000,Petrol,Manual,Delhi,Brown,Third,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Hyundai,Elite i20 Sportz 1.2 IVT,890923,2007,25000,Petrol,Manual,Mumbai,Brown,Third,Dealer,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Xcent S 1.2,501669,2023,66000,Petrol,Manual,Ahmedabad,Grey,Third,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
Land Rover,Discovery Sport HSE Luxury 7-Seater,4856701,2007,50000,Diesel,Automatic,Karnal,Red,Second,Individual,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4600.0,2069.0,1724.0,7.0,65.0
Toyota,Etios V,275659,2012,66000,Petrol,Automatic,Delhi,White,Second,Individual,1496 cc,80 bhp @ 5600 rpm,132 Nm @ 3000 rpm,FWD,4265.0,1695.0,1510.0,5.0,45.0
Hyundai,Elite i20 Asta 1.2,648598,2022,48591,Petrol,Manual,Hyderabad,Brown,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],1609282,2015,28000,Petrol,Manual,Mumbai,Red,Second,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Hyundai,Creta 1.6 SX Plus AT,831991,2012,88000,Diesel,Manual,Ahmedabad,Brown,First,Dealer,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,Q7 45 TDI Premium Plus,5861248,2006,45000,Diesel,Automatic,Mumbai,Grey,Second,Dealer,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052.0,1968.0,1740.0,7.0,75.0
Renault,Kwid 1.0 RXT [2016-2019],318364,2010,34736,Petrol,Manual,Hyderabad,Yellow,Second,Dealer,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
Audi,A6 35 TDI Matrix,2291353,2014,60000,Diesel,Manual,Mumbai,Green,First,Corporate,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Honda,WR-V VX MT Petrol,852898,2001,42000,Petrol,Manual,Chennai,White,First,Corporate,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
Mahindra,XUV500 W8 AWD,895042,2014,78000,Diesel,Automatic,Mumbai,White,First,Corporate,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,AWD,4585.0,1890.0,1785.0,7.0,70.0
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],1697777,2015,27000,Petrol,Manual,Panvel,White,Third,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,,4655.0,1835.0,1760.0,5.0,60.0
Honda,City V,747044,2021,38000,Petrol,Manual,Gurgaon,Brown,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Alto 800 Std,182289,2010,48000,Petrol,Automatic,Ranchi,Black,Third,Dealer,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Jaguar,XF Prestige Diesel CBU,4050311,2019,13500,Diesel,Automatic,Delhi,Grey,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,RWD,5067.0,2091.0,1457.0,5.0,66.0
Hyundai,Elite i20 Asta 1.2 AT,773232,2009,33647,Petrol,Automatic,Mumbai,Grey,Second,Dealer,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,40.0
Mahindra,Scorpio S5,1544161,2021,12000,Diesel,Automatic,Delhi,Black,First,Dealer,2179 cc,137 bhp @ 3750 rpm,319 Nm @ 1500 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
Hyundai,i20 Magna (O) 1.2,471633,2019,23000,Petrol,Manual,Ahmedabad,Grey,Third,Dealer,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
Maruti Suzuki,Celerio VXi [2019-2020],585191,2018,34000,Petrol,Manual,Chennai,Black,Third,Corporate,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
Audi,Q3 2.0 TDI quattro Premium,1716075,2003,44087,Diesel,Manual,Mumbai,Grey,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Toyota,Fortuner 3.0 4x2 AT,1157764,2004,125000,Diesel,Automatic,Delhi,Brown,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
Mahindra,Thar AX 4-STR Convertible Petrol MT,1563155,2016,3813,Petrol,Manual,Chennai,White,First,Dealer,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0
Mercedes-Benz,S-Class S 350D [2018-2020],19631926,2008,5000,Diesel,Automatic,Pune,White,Third,Corporate,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0
BMW,3-Series 320i Luxury Line,2694099,2015,15900,Petrol,Manual,Delhi,Brown,First,Individual,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Ford,Aspire Titanium 1.2 Ti-VCT,407336,2017,23000,Petrol,Automatic,Delhi,Silver,First,Corporate,1196 cc,87 bhp @ 6300 rpm,112 Nm @ 4000 rpm,FWD,3995.0,1695.0,1525.0,5.0,42.0
BMW,5-Series 530i Sport Line,4204073,2001,32000,Petrol,Manual,Mumbai,Yellow,Third,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4936.0,1868.0,1479.0,5.0,57.0
Volkswagen,Jetta 1.9L TDI,315994,2015,107879,Diesel,Automatic,Pune,Red,First,Individual,,,,,,,,,
Hyundai,Xcent S 1.2,479320,2001,66000,Petrol,Automatic,Ahmedabad,Green,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0
BMW,3-Series 320d Luxury Line,2708256,2020,75000,Diesel,Automatic,Coimbatore,White,Second,Corporate,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Mahindra,Scorpio LX BS-IV,681128,2013,47000,Diesel,Manual,Patna,Yellow,Third,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
Maruti Suzuki,Zen LXi BS-II,73875,2019,65082,Petrol,Automatic,Kolkata,White,Second,Dealer,,,,,,,,,
Maruti Suzuki,Swift VDi,368549,2015,120000,Diesel,Manual,Hyderabad,Blue,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Honda,City VX (O) MT,659340,2003,37000,Petrol,Automatic,Delhi,Grey,First,Corporate,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mercedes-Benz,GLE 300d 4MATIC LWB,8800333,2023,9000,Diesel,Manual,Delhi,Yellow,Third,Corporate,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4924.0,2157.0,1772.0,5.0,93.0
Toyota,Innova 2.4 VX 8 STR [2016-2020],2061850,2014,28000,Diesel,Manual,Pune,Yellow,Third,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
Hyundai,Verna Fluidic 1.6 VTVT SX,499226,2000,62000,Petrol,Manual,Delhi,Green,Second,Corporate,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Mercedes-Benz,SLK-Class SLK 200 K,2504028,2012,34105,Petrol,Automatic,Mumbai,Red,First,Individual,1796 cc,165@5500,240@3000,RWD,4082.0,1777.0,1297.0,2.0,70.0
Skoda,Kodiaq Style 2.0 TDI 4x4 AT,2022706,2012,103000,Diesel,Automatic,Delhi,Blue,Third,Dealer,,,,,4697.0,1882.0,1665.0,7.0,63.0
Hyundai,Elite i20 Sportz 1.4,551278,2004,65000,Diesel,Manual,Ludhiana,Blue,First,Dealer,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,Thar CRDe 4x4 Non AC,1090380,2005,79000,Diesel,Automatic,Mysore,White,Third,Dealer,2498 cc,105@3800,247@1800,AWD,3920.0,1710.0,1930.0,7.0,60.0
Maruti Suzuki,Swift VXi,413473,2021,20000,Petrol,Automatic,Mumbai,Green,Second,Dealer,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Ford,Ecosport Titanium 1.5L TDCi,656331,2006,92000,Diesel,Manual,Agra,White,Third,Corporate,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0
Maruti Suzuki,Celerio LXi,398095,2018,49580,Petrol,Manual,Coimbatore,White,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Swift DZire VXi,269703,2011,77000,Petrol,Manual,Pune,Red,Third,Individual,1298 cc,87@6000,113@4500,FWD,4160.0,1690.0,1530.0,5.0,43.0
Toyota,Corolla Altis GL,690820,2002,85000,Diesel,Automatic,Kanpur,Black,Second,Dealer,1364 cc,87 bhp @ 3800 rpm,205 Nm @ 1800 rpm,FWD,4620.0,1775.0,1475.0,5.0,50.0
Maruti Suzuki,Ciaz Delta Hybrid 1.5 AT [2018-2020],836458,2008,32000,Petrol,Automatic,Pune,Yellow,Third,Dealer,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,S-Cross Sigma 1.3,731606,2018,125372,Diesel,Manual,Coimbatore,Yellow,Third,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4300.0,1765.0,1590.0,5.0,48.0
Maruti Suzuki,Alto VXi,246571,2007,31100,Petrol,Automatic,Jamshedpur,Blue,Third,Corporate,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0
Mahindra,TUV300 T8 AMT mHAWK100,626471,2014,69000,Diesel,Manual,Delhi,Black,First,Dealer,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
BMW,X5 xDrive30d xLine,7856575,2002,29000,Diesel,Automatic,Delhi,Grey,Second,Corporate,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD,4922.0,2004.0,1745.0,5.0,80.0
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,792200,2021,60500,Petrol,Automatic,Surat,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4390.0,1699.0,1467.0,5.0,55.0
Hyundai,i20 Magna 1.4 CRDI,343820,2014,98500,Diesel,Automatic,Chandigarh,Yellow,Third,Dealer,1336 cc,89 bhp @ 4000 rpm,219.744 Nm @ 1500 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
Tata,Safari 2.2 EX 4x2,547045,2015,72000,Diesel,Automatic,Ahmedabad,Grey,First,Corporate,2179 cc,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4655.0,1965.0,1922.0,7.0,55.0
Hyundai,Creta SX 1.5 Diesel [2020-2022],1464137,2022,19700,Diesel,Automatic,Mumbai,Blue,Second,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],530308,2012,76000,CNG,Manual,Kanpur,Yellow,Third,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3655.0,1620.0,1675.0,5.0,60.0
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],406314,2020,57000,Petrol,Automatic,Delhi,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Toyota,Corolla Altis VL AT Petrol,1300545,2008,65100,Petrol,Automatic,Thane,Silver,Third,Corporate,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4620.0,1775.0,1475.0,5.0,55.0
Hyundai,i10 Sportz 1.2,182970,2015,60000,Petrol,Automatic,Roorkee,Red,First,Dealer,1197 cc,80@5200,111@4000,FWD,3565.0,1595.0,1550.0,5.0,35.0
Hyundai,Elite i20 Asta 1.2,564085,2020,61900,Petrol,Automatic,Gurgaon,Grey,First,Dealer,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Maruti Suzuki,Eeco 5 STR WITH HTR CNG [2018-2019],541695,2002,8640,CNG,Automatic,Bhopal,Grey,Third,Dealer,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
Mercedes-Benz,GL-Class 350 CDI,4159318,2022,77000,Diesel,Automatic,Chennai,Green,First,Dealer,2987 cc,258 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,5120.0,1934.0,1850.0,7.0,100.0
Audi,Q7 35 TDI Premium + Sunroof,2272999,2004,42533,Diesel,Manual,Mumbai,Grey,Third,Corporate,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD,5089.0,1983.0,1737.0,7.0,100.0
Hyundai,i10 Magna 1.2 Kappa2,276786,2006,91000,Petrol,Manual,Ahmedabad,Grey,Second,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
BMW,3-Series 330i M Sport Edition,4480892,2012,14000,Petrol,Automatic,Mumbai,Silver,Second,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Maruti Suzuki,Baleno Alpha Automatic,876888,2021,21365,Petrol,Manual,Bangalore,White,First,Corporate,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
Audi,A6 2.0 TDI Premium Plus,1674829,2011,19868,Diesel,Manual,Delhi,Green,First,Dealer,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915.0,1874.0,1455.0,5.0,65.0
Hyundai,Verna 1.6 CRDI SX,712484,2002,42000,Diesel,Automatic,Ludhiana,Black,Third,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Volvo,XC90 D5 Inscription,8519640,2009,32500,Diesel,Manual,Ahmedabad,Grey,Third,Corporate,1969 cc,232 bhp @ 4250 rpm,480 Nm @ 1750 rpm,AWD,4953.0,2008.0,1776.0,7.0,71.0
Hyundai,Elite i20 Asta 1.2,549494,2008,47752,Petrol,Manual,Mumbai,Blue,Second,Corporate,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mercedes-Benz,GLS 350 d,6723778,2014,53000,Diesel,Automatic,Dehradun,Silver,Second,Corporate,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130.0,1934.0,1850.0,7.0,100.0
Maruti Suzuki,Alto LXi BS-III,208258,2017,41000,Petrol,Automatic,Mysore,Blue,Second,Dealer,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0
Ford,Endeavour Titanium 3.2 4x4 AT,3409532,2005,34000,Diesel,Manual,Delhi,Yellow,Third,Corporate,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4892.0,1860.0,1837.0,7.0,80.0
Honda,Mobilio RS Diesel,675629,2021,48000,Diesel,Manual,Mumbai,Blue,First,Dealer,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4386.0,1683.0,1603.0,7.0,42.0
Mahindra,Thar LX 4-STR Hard Top Petrol MT,1440512,2000,8519,Petrol,Automatic,Mumbai,Brown,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
Audi,A3 35 TDI Technology + Sunroof,2798441,2013,40910,Diesel,Manual,Bangalore,Yellow,First,Corporate,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Ford,Ecosport Titanium 1.5L TDCi,577271,2000,80000,Diesel,Manual,Gurgaon,Red,Second,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
